"TASK","FOLDER","CONTEXT","GOAL","LOCATION","STARTDATE","STARTTIME","DUEDATE","DUETIME","REPEAT","LENGTH","TIMER","PRIORITY","TAG","STATUS","STAR","NOTE"
"Procure to Pay Reports - AX vs Not AX - Krishnan","Winnebago","@Home",,,,,"2018-02-16",,,,,"2",,,,
"Review OneNeck quote","Winnebago","@Home",,,,,"2018-02-15",,,,,"2",,,,
"For EAM only Functional Location should be on (After CU13)","Winnebago","@Home",,,,,,,,,,,,,,"Check License Configuration for EAM - should only have ""Functional Location"" checked."
"Dashboards - show completed","Winnebago","@Home",,,,,,,,,,"2",,,,"This was Rahoul's idea
Post to Close  7 - 7 - 6 - 5 - 1 - 1 - 1 - 1"
"Install Arbela","Winnebago","@Home",,,,,,,,,,,,,,
"Review DynPerf as an option for performance benchmarking","Winnebago","@Home",,,,,,,,,,,,,,"Hi Gary-
Typically the system is evaluated and sized for the weeks of System Test.  There is a program in AX that is run against your db during the time of system test to see where we fall in the performance sector.  That information is evaluated and we tune the software based on the results to ensure optimal performance and processing time.  This is why System Test is very important and we need everyone pounding on the system as if we were LIVE.  When MS recommends hardware at time of purchase they use the number of concurrent users and sites/physical locations as a basis to size your hardware.  We typically don’t see any additional hardware purchases after the initial install.
Thank you, Santo
Santo Chisolm, CPA"
"Install security development tool","Winnebago","@Home",,,,,,,,,,,,,,
"65881: Add ""Independent budgeting for sub-projects"" to the projects DIXF import","Winnebago","@Home",,,,,,,,,,"1","Data Migration",,,"ProjTable.ProjBudgetManagement field."
"Get updated Device DIXF Entity","Winnebago","@Home",,,,,,,,,,"1","Data Migration, Annata","Waiting",,"TransferStatus is a reserved field."
"Migrating open sales orders will require an Experlogix interface","Winnebago","@Home",,,,,,,,,,"1","Data Migration",,,
"Update status on Dealer Agreements VSTS data entity","Winnebago","@Home",,,,,,,,,,"1","Data Migration",,,
"Create the DIXF entity for WHSFilterTable","Winnebago","@Home",,,,,,,,,,"1","Data Migration",,,
"Delete the WT1 tasks for Dealer Agreements","Winnebago","@Home",,,,,,,,,,"1","Data Migration",,,
"Create customer attachments VSTS","Winnebago","@Home",,,,,,,,,,"1","Data Migration",,,
"Create customer attachments entity","Winnebago","@Home",,,,,,,,,,"1","Data Migration",,,
"Import and check in Mca_DataWarehouseInfo","Winnebago","@Home",,,,,"2018-03-09",,,,,"1",,,,
"Review P2P reports - disposition them","Winnebago","@Home",,,,,"2018-02-09",,,,,"2",,,,
"Create Data Migration VSTS Cheatsheet","Winnebago","@Home",,,,,"2018-02-16",,,,,"3","Data Migration","Waiting",,
"Update customization process and business justification -> Word","Winnebago","@Home",,,,,"2018-02-09",,,,,"1",,,,
"Change Winnebago from TPL Legal Entity to Legal Entity WGO","Winnebago","@Home",,,,,,,,,,,,,,
"Create project budget DIXF entity","Winnebago","@Home",,,,,,,,,,"1","Data Migration",,,
"Compare WGO\ERP_Access-Journey to AX","Winnebago","@Home",,,,,,,,,,,,,,
"Tell Rahoul about TAP making very minor changes, but they will support them.","Winnebago","@Home",,,,,,,,,,,,,,
"Create example business justification request","Winnebago","@Home",,,,,,,,,,"2",,,,
"Vendors need to share the party ID","Winnebago","@Home",,,,,,,,,,,,,,
"Security: Create AD test accounts","Winnebago","@Home",,,,,,,,,,"1",,,,
"Security: Shane & Ahndi: due date for having first role tested","Winnebago","@Home",,,,,,,,,,"1",,,,
"Dashboard: Break out - Reporting tab - AX, DW","Winnebago","@Home",,,,,,,,,,"1",,,,"Motorized vs Towables?
Customization Status  Later
Security Build Status Later
Training tracking Later
CRP status Later
Overdue tasks
Tasks due in the next few weeks"
"Retail - waiting on requirements","Winnebago","@Home",,,,,"2018-02-16",,,,,"1",,,,
"Configuring BottomLine PrecisionForms and making menu visible in AX","Winnebago","@Home",,,,,,,,,,"1",,,,"Fix SystemAdminsitration menu - and missing ""Outbound ports for ...""
Configure AX
Configure the server"
"Get new Annata license (expires 3/1)","Winnebago","@Home",,,,,"2018-03-01",,,,,"1","Annata",,,
"VSTS cheat sheets","Winnebago","@Home",,,,,,,,,,"2",,,,
"Add MDM to next week's meeting?","Winnebago","@Home",,,,,"2018-02-16",,,,,"2",,,,
"Fill out the DIXF completed date on DMP","Winnebago","@Home",,,,,,,,,,,,,,
"Test build box with the AXBuild account","Winnebago","@Home",,,,,,,,,,,,,,
"Demand forecast issue where the forecast is not uploading back into AX","Winnebago","@Home",,,,,,,,,,"1",,,,"The demand forecast wasn't imported to Microsoft Dynamics AX.  Null object cannot be converted to a value type."
"Custodian DIXF Entity - Bugfix then Install","Winnebago","@Home",,,,,"2018-02-16",,,,,"1","Annata","Waiting",,"It had bugs, waiting on fix."
"Install Dynaway mobile client","Winnebago","@Home",,,,,,,,,,,,,,
"Finish out the dashboards","Winnebago","@Home",,,,,,,,,,"1",,,,
"Create a SQL script which would compare record count, then compare recversion","Winnebago","@Home",,,,,,,,,,,,,,"Visual Studio > Tools > SQL Server > New Data Comparison

SQL Diff Framework
https://github.com/msorens/SqlDiffFramework

Or tablediff (this I can run for rowcount, then do more detailed comparisons)
https://docs.microsoft.com/en-us/sql/tools/tablediff-utility

https://www.mssqltips.com/sqlservertip/2779/ways-to-compare-and-find-differences-for-sql-server-tables-and-data/

Paid software:
https://www.mssqltips.com/sqlservertip/1069/sql-server-comparison-tools/"
"Import Zip Codes","Winnebago","@Home",,,,,,,,,,"1","Data Migration",,,
"Update Data Migration Plan with the completion date","Winnebago","@Home",,,,,,,,,,,,,,
"Estimate the gaps","Winnebago","@Home",,,,,"2018-02-16",,,,,"3",,"Active",,"C:\Users\Dag.Calafell\mcaConnect, LLC\OneDrive - mcaConnect, LLC\Clients\Winnebago\Design\Gaps review 2018.02.02"
"Finish interface estimates for ESC","Winnebago","@Home",,,"2018-01-31",,"2018-02-16",,,,,"3",,"Active",,"9/12/2017 - Sent email to Shane and Santo about interfaces which are out of scope
9/14/2017 - Down to 7 to estimate, several meetings are scheduled
9/15/2017 - Trying to meet with Santo and Shane to review list before communicating it.
1/31/2018 - Met with Rahoul, prepare these estimates for ESC meeting 3/1/2018"
"BI Requirements for Infrastructure Estimate","Winnebago","@Home",,,,,,,,,,,,"Waiting",,"2/1/2018 - Talked with Krishnan and he is still determining where the BI server will reside."
